region_sede,area_conocimiento,program_count,instituciones_distintas,vacantes_totales,arancel_promedio,matricula_promedio
Biobío,Tecnología,205,20,15143,3099553.8017241377,208778.7521551724
La Araucanía,Salud,163,12,13697,4048077.8210526314,245719.47368421053
Biobío,Salud,173,16,10117,5237207.041152263,266036.59016393445
La Araucanía,Administración y Comercio,92,13,9567,2667528.0866141734,191615.74803149607
Biobío,Administración y Comercio,137,20,9137,2669821.750865052,200369.6678200692
La Araucanía,Tecnología,99,13,7191,2870898.56,207189.33333333334
La Araucanía,Ciencias Sociales,76,10,6030,2794838.054347826,196846.35416666666
Biobío,Ciencias Sociales,84,18,5967,2751565.974025974,171153.46753246753
Biobío,Educación,109,15,5808,2547319.0833333335,162451.9880952381
La Araucanía,Educación,78,10,5220,2494827.3106796117,168955.33980582524
Los Lagos,Tecnología,71,12,5011,2671360.502702703,224339.87027027027
La Araucanía,Derecho,34,9,4365,2873503.1052631577,190194.73684210525
Los Lagos,Administración y Comercio,57,12,3694,2800912.9470198676,240724.87417218543
Los Lagos,Salud,55,10,3627,4501643.284090909,233525.6590909091
Los Ríos,Tecnología,56,7,2447,2792582.1739130435,192421.73913043478
Los Ríos,Salud,57,7,2304,5691977.5,204147.0588235294
Biobío,Arte y Arquitectura,38,11,2284,3185411.9365079366,240038.09523809524
Los Lagos,Educación,42,8,2143,2641115.8933333335,182295.18666666668
Biobío,Derecho,32,9,1912,3821418.925,224312.5
Los Lagos,Ciencias Sociales,31,8,1912,2920216.362318841,195972.14492753622
Biobío,Ciencias Básicas,71,10,1587,4337163.051948052,241280.5194805195
Biobío,Agropecuaria,22,11,1381,3761278.6551724137,192655.1724137931
Los Ríos,Ciencias Sociales,33,6,1331,2764875.775510204,162834.693877551
Los Ríos,Administración y Comercio,25,8,1294,3227378.128205128,269287.1794871795
La Araucanía,Arte y Arquitectura,19,7,995,3315783.4545454546,257400.0
Los Lagos,Agropecuaria,14,10,995,3003186.1666666665,180611.58333333334
La Araucanía,Ciencias Básicas,19,5,939,3351185.75,259150.0
La Araucanía,Agropecuaria,18,8,912,3535948.6315789474,223875.0
Los Ríos,Educación,24,4,899,2653648.1481481483,155414.8148148148
Los Lagos,Arte y Arquitectura,14,6,712,2683968.5714285714,231754.2857142857
Biobío,Humanidades,26,6,668,3047340.1481481483,166592.59259259258
Los Ríos,Arte y Arquitectura,17,6,527,3681615.789473684,203810.52631578947
Los Lagos,Derecho,7,5,500,3215186.6666666665,203826.66666666666
Los Ríos,Derecho,7,4,378,4708971.428571428,218914.2857142857
Los Ríos,Ciencias Básicas,23,2,333,3876760.8695652173,238717.39130434784
Los Ríos,Agropecuaria,18,3,330,3777722.222222222,188777.77777777778
Los Lagos,Ciencias Básicas,7,4,212,2388181.8181818184,169090.9090909091
La Araucanía,Humanidades,5,3,139,3486800.0,171600.0
Los Ríos,Humanidades,5,1,34,2750800.0,210000.0
Los Lagos,Humanidades,2,2,15,1698200.0,124400.0
